cuisine,price,rating
French,142,28
French,137,28
French,127,28
French,303,28
French,106,28
French,127,28
French,100,28
French,114,27
French,64,27
French,107,27
French,80,27
French,114,27
Italian,54,27
Italian,87,27
Italian,79,27
Italian,52,26
Italian,47,26
Italian,76,26
Italian,97,26
Italian,78,26
Italian,87,26
Italian,73,26
Italian,54,26
Italian,98,26
Chinese,69,24
Chinese,63,24
Chinese,26,23
Chinese,34,23
Chinese,57,23
Chinese,31,23
Japanese,95,28
Japanese,84,28
Japanese,105,27
Japanese,91,27
Japanese,80,27
Japanese,83,27
Japanese,154,27
Japanese,84,26
Japanese,520,26
Japanese,55,26
Japanese,75,26
Japanese,99,26
American,112,28
American,78,27
American,60,27
American,77,27
American,46,26
American,36,23
American,13,21
American,43,21
