Position,Salary
Accounting,84
Accounting,83
Accounting,80
Accounting,79
Accounting,86
Accounting,85
Accounting,82
Accounting,90
Accounting,91
Accounting,79
Accounting,89
Accounting,93
Finance,78
Finance,72
Finance,81
Finance,74
Finance,74
Finance,75
Finance,80
Finance,77
Finance,79
Finance,80
Finance,74
Finance,82
Management,68
Management,70
Management,72
Management,74
Management,66
Management,67
Management,70
Management,71
Management,66
Management,49
Management,68
Management,72
Marketing,68
Marketing,69
Marketing,67
Marketing,70
Marketing,69
Marketing,67
Marketing,96
Marketing,71
Marketing,69
Marketing,70
Marketing,72
Marketing,68
