year,rating
freshmen,8
freshmen,5
freshmen,8
freshmen,5
freshmen,5
freshmen,6
freshmen,6
freshmen,6
freshmen,6
freshmen,6
freshmen,6
freshmen,7
freshmen,6
freshmen,4
freshmen,6
freshmen,7
freshmen,8
freshmen,7
freshmen,7
freshmen,6
freshmen,6
freshmen,6
freshmen,6
freshmen,6
freshmen,6
sophomores,5
sophomores,4
sophomores,5
sophomores,4
sophomores,5
sophomores,4
sophomores,2
sophomores,4
sophomores,6
sophomores,3
sophomores,4
sophomores,6
sophomores,5
sophomores,5
sophomores,4
sophomores,6
sophomores,4
sophomores,4
sophomores,5
sophomores,3
sophomores,4
sophomores,5
sophomores,4
sophomores,5
sophomores,3
juniors,3
juniors,5
juniors,2
juniors,3
juniors,2
juniors,5
juniors,3
juniors,3
juniors,4
juniors,3
juniors,4
juniors,5
juniors,5
juniors,4
juniors,3
juniors,3
juniors,3
juniors,3
juniors,4
juniors,2
juniors,2
juniors,3
juniors,3
juniors,3
juniors,4
seniors,7
seniors,7
seniors,7
seniors,7
seniors,7
seniors,7
seniors,7
seniors,8
seniors,7
seniors,6
seniors,6
seniors,7
seniors,7
seniors,7
seniors,6
seniors,7
seniors,7
seniors,7
seniors,8
seniors,7
seniors,7
seniors,6
seniors,8
seniors,7
seniors,7
